,grupo,ano,contagem_int,contagem_tec,tec_percent
0,Grupo_1 - PropPretos,2012,347,1,0.002881844380403458
1,Grupo_1 - PropPretos,2013,813,7,0.008610086100861008
2,Grupo_1 - PropPretos,2014,838,8,0.00954653937947494
3,Grupo_1 - PropPretos,2015,784,7,0.008928571428571428
4,Grupo_1 - PropPretos,2016,780,7,0.008974358974358974
5,Grupo_1 - PropPretos,2017,797,6,0.0075282308657465494
6,Grupo_1 - PropPretos,2018,867,6,0.006920415224913495
7,Grupo_1 - PropPretos,2019,904,7,0.007743362831858407
8,Grupo_1 - PropPretos,2020,822,9,0.010948905109489052
9,Grupo_1 - PropPretos,2021,947,10,0.010559662090813094
10,Grupo_2 - IDH,2012,476,4,0.008403361344537815
11,Grupo_2 - IDH,2013,670,4,0.005970149253731343
12,Grupo_2 - IDH,2014,644,3,0.004658385093167702
13,Grupo_2 - IDH,2015,657,4,0.0060882800608828
14,Grupo_2 - IDH,2016,642,4,0.006230529595015576
15,Grupo_2 - IDH,2017,701,3,0.0042796005706134095
16,Grupo_2 - IDH,2018,712,4,0.0056179775280898875
17,Grupo_2 - IDH,2019,698,5,0.0071633237822349575
18,Grupo_2 - IDH,2020,625,3,0.0048
19,Grupo_2 - IDH,2021,795,5,0.006289308176100629
20,Grupo_3 - Proximidade,2012,2748,40,0.01455604075691412
21,Grupo_3 - Proximidade,2013,3108,44,0.014157014157014158
22,Grupo_3 - Proximidade,2014,3172,46,0.014501891551071878
23,Grupo_3 - Proximidade,2015,3185,44,0.013814756671899528
24,Grupo_3 - Proximidade,2016,2887,45,0.015587114651887772
25,Grupo_3 - Proximidade,2017,2983,47,0.015755950385517935
26,Grupo_3 - Proximidade,2018,3015,46,0.015257048092868989
27,Grupo_3 - Proximidade,2019,2911,57,0.019580900034352457
28,Grupo_3 - Proximidade,2020,2889,60,0.020768431983385256
29,Grupo_3 - Proximidade,2021,3292,66,0.020048602673147023
30,Grupo_4 - Santa Luzia do Itanhy,2012,667,0,0.0
31,Grupo_4 - Santa Luzia do Itanhy,2013,844,0,0.0
32,Grupo_4 - Santa Luzia do Itanhy,2014,717,0,0.0
33,Grupo_4 - Santa Luzia do Itanhy,2015,887,1,0.0011273957158962795
34,Grupo_4 - Santa Luzia do Itanhy,2016,935,0,0.0
35,Grupo_4 - Santa Luzia do Itanhy,2017,865,0,0.0
36,Grupo_4 - Santa Luzia do Itanhy,2018,865,0,0.0
37,Grupo_4 - Santa Luzia do Itanhy,2019,793,0,0.0
38,Grupo_4 - Santa Luzia do Itanhy,2020,662,0,0.0
39,Grupo_4 - Santa Luzia do Itanhy,2021,798,0,0.0
40,Grupo_5 - Isolados,2012,276,0,0.0
41,Grupo_5 - Isolados,2013,416,2,0.004807692307692308
42,Grupo_5 - Isolados,2014,417,3,0.007194244604316547
43,Grupo_5 - Isolados,2015,396,3,0.007575757575757576
44,Grupo_5 - Isolados,2016,390,2,0.005128205128205128
45,Grupo_5 - Isolados,2017,409,3,0.007334963325183374
46,Grupo_5 - Isolados,2018,390,3,0.007692307692307693
47,Grupo_5 - Isolados,2019,428,3,0.007009345794392523
48,Grupo_5 - Isolados,2020,371,4,0.01078167115902965
49,Grupo_5 - Isolados,2021,552,4,0.007246376811594203
